_id,id,nickname,battles_in_0,dmg_in_0,winrate_in_0,battles_in_1,dmg_in_1,winrate_in_1,battles_in_4,dmg_in_4,winrate_in_4,battles_in_3,dmg_in_3,winrate_in_3,clantag,is_stats_closed,kills_in_0,spotting_in_0,kills_in_1,spotting_in_1,kills_in_3,spotting_in_3
5fa7ff2b805c92047577edc0,512711314,gvardiistarley,3981,669.77,46.9,149,5142.66,75.8,0,0,0,3,1328,66.7,Cay,false,0.31,353.05400653102237,3.69,1322.020134228188,0,141.66666666666666
5fa7ff2b805c92047577edc1,382726573,Адель,2040,888.06,48.1,74,3365.74,79.7,0,0,0,1,6080,100,Cay,false,0.45,210.85245098039215,4.01,1572.4054054054054,0,1342
5fa7ff2b805c92047577edc2,583796214,AlexxxxIrkuts,7189,1222.45,48.2,85,10809.67,88.2,0,0,0,12,5083,75,Cay,false,0.51,570.7784114619558,5.24,5607.517647058824,2.25,2167.3333333333335
5fa7ff2b805c92047577edc3,590357405,Обседиан,491,386.97,46.6,83,1767.63,88,0,0,0,0,0,0,Cay,false,0.22,145.42973523421588,3.58,801.7469879518072,0,0
5fa7ff2b805c92047577edc4,380625334,Мосин90,11740,1522.14,49.7,404,8235.57,82.4,0,0,0,30,7971.96,36.7,Cay,false,0.65,484.640800681431,5.25,3932.8440594059407,2.6,2397.2
5fa7ff2b805c92047577edc5,578224831,TAKTORBAI,1548,611.39,45.8,85,6733.32,84.7,0,0,0,3,3057.66,33.3,Cay,false,0.32,248.1860465116279,4.25,2066.576470588235,0.67,187.66666666666666
5fa7ff2b805c92047577edc6,599870804,Sanya28,1910,566.05,45.8,138,2902.71,78.3,0,0,0,0,0,0,Cay,false,0.38,225.55392670157067,3.54,1166.1159420289855,0,0
5fa7ff2b805c92047577edc7,427713503,Vovan70,5935,1206.24,47.1,323,10469.89,69,0,0,0,104,6634.29,54.8,Cay,false,0.42,507.85071609098566,5.02,2898.69040247678,1.74,2496.1153846153848
5fa7ff2b805c92047577edc8,615134320,hhhhkkkk,6087,1206.23,48.9,373,4531.27,81.5,0,0,0,2,3276,50,Cay,false,0.59,356.485460818137,5.1,1363.01072386059,1,364.5
5fa7ff2b805c92047577edc9,450008828,Papka41-71,2463,853.32,47.1,127,5508.99,59.1,0,0,0,140,3991.92,46.4,Cay,false,0.43,332.14250913520095,3.48,1618.6692913385828,1.84,1402.1357142857144
5fa7ff2b805c92047577edcb,622354294,praid1985,838,555.68,44.7,48,3198.91,77.1,0,0,0,12,1863.91,58.3,Cay,false,0.43,159.46539379474942,4.17,1470.4791666666667,2.08,205.08333333333334
5fa7ff2b805c92047577edcc,589259080,ПРЯ-НИК,665,833.52,48.4,77,3261.67,84.4,0,0,0,0,0,0,Cay,false,0.6,280.2857142857143,5.1,1347.935064935065,0,0
5fa7ff2b805c92047577edce,619147819,SimiL,584,1136.91,52.1,74,4237.87,86.5,0,0,0,2,1795,0,Cay,false,0.76,455,5.15,2528.6486486486488,0.5,0
5fa7ff2b805c92047577edcf,508149969,Total_88,2959,1175.88,50.4,40,4386.9,90,0,0,0,0,0,0,Cay,false,0.7,304.82156133828994,5.65,1182.65,0,0
5fa7ff2b805c92047577edd2,598143701,mrnipomishiy,2539,1019.47,47.9,154,8720.88,90.3,0,0,0,13,3547.23,46.2,Cay,false,0.53,407.8601811736904,5.93,3343.0324675324673,1.23,1472.1538461538462
5fa7ff2b805c92047577edd3,505773947,kerri17,3469,1195.31,46.8,34,4639.32,79.4,0,0,0,6,4403.83,83.3,Cay,false,0.52,401.5678869991352,4.09,164.55882352941177,2.5,1789
5fa7ff2b805c92047577edd4,489325570,korobochka52,2504,1434.05,50.6,82,4124.7,72,0,0,0,9,3378.88,88.9,Cay,false,0.79,275.87779552715654,2.73,1064.4024390243903,1.11,881.4444444444445
5fa7ff2b805c92047577edd6,599879337,grihaPV,1032,518.41,42.5,324,3158.34,69.1,0,0,0,5,713,20,Cay,false,0.38,276.8255813953488,3.87,2465.33024691358,1,850.6
5fa7ff2b805c92047577edd7,618291210,adam090909,4239,711.88,44,20,3172.65,80,0,0,0,0,0,0,Cay,false,0.2,742.9709837225761,2.5,3779.9,0,0
5fa7ff2b805c92047577edd9,590069570,BrothersForever,75,768.54,40,38,2896.6,84.2,0,0,0,0,0,0,Cay,false,0.6,214.81333333333333,6.26,1019.4473684210526,0,0
5fa7ff2f805c92047577eddc,620328453,БУС-26,594,593.22,47.5,1530,11099.34,82.9,0,0,0,1,3366,0,FlRE,false,0.34,280.46632996632997,6.96,6803.4111111111115,2,132
5fa7ff2f805c92047577eddf,631268118,chak_norissss,51,814.09,45.1,17,3705.41,94.1,0,0,0,0,0,0,FlRE,false,0.73,193.47058823529412,7.65,1394.7058823529412,0,0
5fa7ff2f805c92047577ede0,495071989,почин20,1182,544.1,47.8,9812,6120.84,77,0,0,0,60,3521.96,38.3,FlRE,false,0.25,291.31302876480544,4.83,2222.4227476559313,1.65,833.1833333333333
5fa7ff2f805c92047577ede1,492627411,Tony06,862,1558.05,49.1,54,10469.61,81.5,0,0,0,0,0,0,FlRE,false,0.75,534.5951276102088,7.43,5341.555555555556,0,0
